mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
192	187	0	0	2/4	4	1		v		Bb	ii		v	v								m	0	1	1, -2, 2		1	1
193	188	0	0	2/4	4	1		viio65/V		Bb	ii		viio65/V	vii	o	65		V				o7	0	1	3, 0, -3, 6		6	3
194	189	0	0	2/4	4	1		vi.i		Bb	vi		i	i								m	0	1	0, -3, 1		0	0
195	190	0	0	2/4	4	1		V43		Bb	vi		V43	V		43						Mm7	0	1	2, -1, 1, 5		1	2
195	190	1/4	1/4	2/4	4	1		#viio/iv		Bb	vi		#viio/iv	#vii	o			iv				o	0	1	4, 1, -2		4	4
196	191	0	0	2/4	4	1		iv		Bb	vi		iv	iv								m	0	1	-1, -4, 0		-1	-1
197	192	0	0	2/4	4	1		V7/iv		Bb	vi		V7/iv	V		7		iv				Mm7	0	1	0, 4, 1, -2		0	0
197	192	1/4	1/4	2/4	4	1		V7/VII		Bb	vi		V7/VII	V		7		VII				Mm7	0	1	-1, 3, 0, -3		-1	-1
198	193	0	0	2/4	4	1		V.I		Bb	V		I	I								M	0	0	0, 4, 1		0	0
199	194	0	0	2/4	4	1		viio6		Bb	V		viio6	vii	o	6						o	0	0	2, -1, 5		5	2
199	194	1/4	1/4	2/4	4	1		V65/IV		Bb	V		V65/IV	V		65		IV				Mm7	0	0	4, 1, -2, 0		0	4
200	195	0	0	2/4	4	1		IV	I.I	Bb	V		IV	IV								M	0	0	-1, 3, 0		-1	-1
201	196	0	0	2/4	4	1		viio6		Bb	V		viio6	vii	o	6						o	0	0	2, -1, 5		5	2
201	196	1/4	1/4	2/4	4	1		viio/IV		Bb	V		viio/IV	vii	o			IV				o	0	0	4, 1, -2		4	4
202	197	0	0	2/4	4	1		IV		Bb	V		IV	IV								M	0	0	-1, 3, 0		-1	-1
202	197	1/4	1/4	2/4	4	1		ii		Bb	V		ii	ii								m	0	0	2, -1, 3		2	2
203	198	0	0	2/4	4	1		iio/ii		Bb	V		iio/ii	ii	o			ii				o	0	0	4, 1, -2		4	4
203	198	1/4	1/4	2/4	4	1		#viio/ii		Bb	V		#viio/ii	#vii	o			ii				o	0	0	7, 4, 1		7	7
204	199	0	0	2/4	4	1		ii		Bb	V		ii	ii								m	0	0	2, -1, 3		2	2
204	199	1/4	1/4	2/4	4	1		V7		Bb	V		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
205	200	0	0	2/4	4	1		I\\		Bb	V		I	I							\\	M	0	0	0, 4, 1		0	0
205	200	1/4	1/4	2/4	4	1		vi		Bb	V		vi	vi								m	0	0	3, 0, 4		3	3
206	201	0	0	2/4	4	1		#viio6/vi		Bb	V		#viio6/vi	#vii	o	6		vi				o	0	0	5, 2, 8		8	5
206	201	1/4	1/4	2/4	4	1		V65/vi		Bb	V		V65/vi	V		65		vi				Mm7	0	0	8, 5, 2, 4		4	8
206	201	3/8	3/8	2/4	4	1		vi		Bb	V		vi	vi								m	0	0	3, 0, 4		3	3
206	201	7/16	7/16	2/4	4	1		#viio6/vi		Bb	V		#viio6/vi	#vii	o	6		vi				o	0	0	5, 2, 8		8	5
207	202	0	0	2/4	4	1		iio/v		Bb	V		iio/v	ii	o			v				o	0	0	3, 0, -3		3	3
207	202	1/4	1/4	2/4	4	1		V65/v		Bb	V		V65/v	V		65		v				Mm7	0	0	6, 3, 0, 2		2	6
208	203	0	0	2/4	4	1		v6	ii6/IV	Bb	V		v6	v		6						m	0	0	-2, 2, 1		1	-2
208	203	1/4	1/4	2/4	4	1		IV.V7		Bb	IV		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
209	204	0	0	2/4	4	1		I6		Bb	IV		I6	I		6						M	0	0	4, 1, 0		0	4
209	204	1/4	1/4	2/4	4	1		ii6		Bb	IV		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
210	205	0	0	2/4	4	1		iio6/vi		Bb	IV		iio6/vi	ii	o	6		vi				o	0	0	2, -1, 5		5	2
210	205	1/4	1/4	2/4	4	1		V7/vi		Bb	IV		V7/vi	V		7		vi				Mm7	0	0	4, 8, 5, 2		4	4
211	206	0	0	2/4	4	1		vi6		Bb	IV		vi6	vi		6						m	0	0	0, 4, 3		3	0
211	206	1/4	1/4	2/4	4	1		vi		Bb	IV		vi	vi								m	0	0	3, 0, 4		3	3
212	207	0	0	2/4	4	1		#viio7/iii		Bb	IV		#viio7/iii	#vii	o	7		iii				o7	0	0	9, 6, 3, 0		9	9
214	209	0	0	2/4	4	1		V7/iii		Bb	IV		V7/iii	V		7		iii				Mm7	0	0	5, 9, 6, 3		5	5
215	210	0	0	2/4	4	1		@none		Bb	IV		@none	@none								m	0	0				
216	211	0	0	2/4	4	1		V7/iii		Bb	IV		V7/iii	V		7		iii				Mm7	0	0	5, 9, 6, 3		5	5
217	212	0	0	2/4	4	1		@none		Bb	IV		@none	@none								m	0	0				
228	223	0	0	2/4	4	1		V/iii		Bb	IV		V/iii	V				iii				M	0	0	5, 9, 6		5	5
229	224	0	0	2/4	4	1		V/iii		Bb	IV		V/iii	V				iii				M	0	0	5, 9, 6		5	5
230	225	0	0	2/4	4	1		V65/iii		Bb	IV		V65/iii	V		65		iii				Mm7	0	0	9, 6, 3, 5		5	9
231	226	0	0	2/4	4	1		iii		Bb	IV		iii	iii								m	0	0	4, 1, 5		4	4
232	227	0	0	2/4	4	1		V43/iii		Bb	IV		V43/iii	V		43		iii				Mm7	0	0	6, 3, 5, 9		5	6
233	228	0	0	2/4	4	1		iii		Bb	IV		iii	iii								m	0	0	4, 1, 5		4	4
234	229	0	0	2/4	4	1		V43		Bb	IV		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
235	230	0	0	2/4	4	1		I		Bb	IV		I	I								M	0	0	0, 4, 1		0	0
236	231	0	0	2/4	4	1		ii65		Bb	IV		ii65	ii		65						mm7	0	0	-1, 3, 0, 2		2	-1
236	231	1/4	1/4	2/4	4	1		V		Bb	IV		V	V								M	0	0	1, 5, 2		1	1
237	232	0	0	2/4	4	1		I\\		Bb	IV		I	I							\\	M	0	0	0, 4, 1		0	0
238	233	0	0	2/4	4	1		ii.V7		Bb	ii		V7	V		7						Mm7	0	1	1, 5, 2, -1		1	1
239	234	0	0	2/4	4	1		V(64)		Bb	ii		V(64)	V			64					M	0	1	1, 0, -3		1	1
240	235	0	0	2/4	4	1		V7		Bb	ii		V7	V		7						Mm7	0	1	1, 5, 2, -1		1	1
241	236	0	0	2/4	4	1		V(64)		Bb	ii		V(64)	V			64					M	0	1	1, 0, -3		1	1
242	237	0	0	2/4	4	1		I.V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
243	238	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
243	238	1/4	1/4	2/4	4	1		vi		Bb	I		vi	vi								m	0	0	3, 0, 4		3	3
244	239	0	0	2/4	4	1		ii6		Bb	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
244	239	1/4	1/4	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
245	240	0	0	2/4	4	1		I\\		Bb	I		I	I							\\	M	0	0	0, 4, 1		0	0
245	240	1/4	1/4	2/4	4	1		V[V		Bb	I	V	V	V								M	0	0	1, 5, 2		1	1
247	242	0	0	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
248	243	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
248	243	1/4	1/4	2/4	4	1		I]		Bb	I		I	I					]			M	0	0	0, 4, 1		0	0
248	243	3/8	3/8	2/4	4	1		viio/V		Bb	I		viio/V	vii	o			V				o	0	0	6, 3, 0		6	6
249	244	0	0	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
249	244	1/4	1/4	2/4	4	1		V7/V		Bb	I		V7/V	V		7		V				Mm7	0	0	2, 6, 3, 0		2	2
249	244	3/8	3/8	2/4	4	1		V64		Bb	I		V64	V		64						M	0	0	2, 1, 5		1	2
250	245	0	0	2/4	4	1		V(64)/V		Bb	I		V(64)/V	V			64	V				M	0	0	2, 1, 5		2	2
250	245	1/4	1/4	2/4	4	1		V2		Bb	I		V2	V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
251	246	0	0	2/4	4	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
251	246	1/4	1/4	2/4	4	1		ii6		Bb	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
251	246	3/8	3/8	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
252	247	0	0	2/4	4	1		I[V43/IV		Bb	I	I	V43/IV	V		43		IV				Mm7	0	0	1, -2, 0, 4		0	1
253	248	0	0	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
253	248	1/4	1/4	2/4	4	1		viio6/IV		Bb	I		viio6/IV	vii	o	6		IV				o	0	0	1, -2, 4		4	1
253	248	3/8	3/8	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
254	249	7/16	7/16	2/4	4	1		IV6		Bb	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
255	250	1/8	1/8	2/4	4	1		viio64/IV		Bb	I		viio64/IV	vii	o	64		IV				o	0	0	-2, 4, 1		4	-2
256	251	0	0	2/4	4	1		V43/IV		Bb	I		V43/IV	V		43		IV				Mm7	0	0	1, -2, 0, 4		0	1
257	252	0	0	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
257	252	1/4	1/4	2/4	4	1		viio6/IV		Bb	I		viio6/IV	vii	o	6		IV				o	0	0	1, -2, 4		4	1
257	252	3/8	3/8	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
258	253	0	0	2/4	4	1		V43		Bb	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
259	254	0	0	2/4	4	1		I]		Bb	I		I	I					]			M	0	0	0, 4, 1		0	0
260	255	0	0	2/4	4	1		V6		Bb	I		V6	V		6						M	0	0	5, 2, 1		1	5
261	256	0	0	2/4	4	1		V43		Bb	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
262	257	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
263	258	0	0	2/4	4	1		V65/V		Bb	I		V65/V	V		65		V				Mm7	0	0	6, 3, 0, 2		2	6
263	258	3/8	3/8	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
264	259	0	0	2/4	4	1		V(64)/V		Bb	I		V(64)/V	V			64	V				M	0	0	2, 1, 5		2	2
264	259	1/4	1/4	2/4	4	1		V7/V		Bb	I		V7/V	V		7		V				Mm7	0	0	2, 6, 3, 0		2	2
265	260	0	0	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
266	261	0	0	2/4	4	1		V43/IV		Bb	I		V43/IV	V		43		IV				Mm7	0	0	1, -2, 0, 4		0	1
267	262	0	0	2/4	4	1		IV6		Bb	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
269	264	0	0	2/4	4	1		V7/IV		Bb	I		V7/IV	V		7		IV				Mm7	0	0	0, 4, 1, -2		0	0
270	265	0	0	2/4	4	1		V65/IV		Bb	I		V65/IV	V		65		IV				Mm7	0	0	4, 1, -2, 0		0	4
271	266	0	0	2/4	4	1		IV6		Bb	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
271	266	3/8	3/8	2/4	4	1		iv6		Bb	I		iv6	iv		6						m	0	0	-4, 0, -1		-1	-4
272	267	0	0	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
273	268	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
273	268	1/4	1/4	2/4	4	1		I\\		Bb	I		I	I							\\	M	0	0	0, 4, 1		0	0
274	269	0	0	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
275	270	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
276	271	0	0	2/4	4	1		V/V		Bb	I		V/V	V				V				M	0	0	2, 6, 3		2	2
276	271	1/4	1/4	2/4	4	1		V64		Bb	I		V64	V		64						M	0	0	2, 1, 5		1	2
277	272	0	0	2/4	4	1		V+6/iii		Bb	I		V+6/iii	V	+	6		iii				+	0	0	9, 13, 5		5	9
277	272	1/8	1/8	2/4	4	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
277	272	1/4	1/4	2/4	4	1		V65/IV		Bb	I		V65/IV	V		65		IV				Mm7	0	0	4, 1, -2, 0		0	4
278	273	1/8	1/8	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
280	275	0	0	2/4	4	1		V7/IV		Bb	I		V7/IV	V		7		IV				Mm7	0	0	0, 4, 1, -2		0	0
281	276	0	0	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
282	277	0	0	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
283	278	0	0	2/4	4	1		I64		Bb	I		I64	I		64						M	0	0	1, 0, 4		0	1
285	280	0	0	2/4	4	1		V43		Bb	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
286	281	0	0	2/4	4	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
286	281	1/4	1/4	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
287	282	0	0	2/4	4	1		V65/IV		Bb	I		V65/IV	V		65		IV				Mm7	0	0	4, 1, -2, 0		0	4
288	283	0	0	2/4	4	1		IV6		Bb	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
289	284	0	0	2/4	4	1		V43/IV		Bb	I		V43/IV	V		43		IV				Mm7	0	0	1, -2, 0, 4		0	1
290	285	0	0	2/4	4	1		IV6		Bb	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
291	286	0	0	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
292	287	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
293	288	0	0	2/4	4	1		V43		Bb	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
294	289	0	0	2/4	4	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
294	289	1/4	1/4	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
295	290	0	0	2/4	4	1		V65		Bb	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
296	291	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
297	292	0	0	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
298	293	0	0	2/4	4	1		vi		Bb	I		vi	vi								m	0	0	3, 0, 4		3	3
299	294	0	0	2/4	4	1		V7/IV		Bb	I		V7/IV	V		7		IV				Mm7	0	0	0, 4, 1, -2		0	0
300	295	0	0	2/4	4	1		ii		Bb	I		ii	ii								m	0	0	2, -1, 3		2	2
300	295	1/4	1/4	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
301	296	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
302	297	0	0	2/4	4	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
302	297	1/4	1/4	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
302	297	3/8	3/8	2/4	4	1		vii%7/V		Bb	I		vii%7/V	vii	%	7		V				%7	0	0	6, 3, 0, 4		6	6
303	298	0	0	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
304	299	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
305	300	0	0	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
306	301	0	0	2/4	4	1		vi		Bb	I		vi	vi								m	0	0	3, 0, 4		3	3
307	302	0	0	2/4	4	1		V7/IV		Bb	I		V7/IV	V		7		IV				Mm7	0	0	0, 4, 1, -2		0	0
308	303	0	0	2/4	4	1		ii		Bb	I		ii	ii								m	0	0	2, -1, 3		2	2
308	303	1/4	1/4	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
309	304	0	0	2/4	4	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
309	304	1/4	1/4	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
310	305	0	0	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
312	307	0	0	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
313	308	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
314	309	0	0	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
315	310	0	0	2/4	4	1		V2		Bb	I		V2	V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
316	311	0	0	2/4	4	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
317	312	0	0	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
317	312	1/8	1/8	2/4	4	1		V65/V		Bb	I		V65/V	V		65		V				Mm7	0	0	6, 3, 0, 2		2	6
317	312	1/4	1/4	2/4	4	1		V(64)		Bb	I		V(64)	V			64					M	0	0	1, 0, 4		1	1
317	312	3/8	3/8	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
318	313	0	0	2/4	4	1		viio65/V		Bb	I		viio65/V	vii	o	65		V				o7	0	0	3, 0, -3, 6		6	3
318	313	3/8	3/8	2/4	4	1		i64		Bb	I		i64	i		64						m	0	0	1, 0, -3		0	1
319	314	0	0	2/4	4	1		viio65/V		Bb	I		viio65/V	vii	o	65		V				o7	0	0	3, 0, -3, 6		6	3
320	315	0	0	2/4	4	1		viio7/V		Bb	I		viio7/V	vii	o	7		V				o7	0	0	6, 3, 0, -3		6	6
322	317	0	0	2/4	4	1		viio43		Bb	I		viio43	vii	o	43						o7	0	0	-1, -4, 5, 2		5	-1
324	319	0	0	2/4	4	1		V[I		Bb	I	V	I	I								M	0	0	0, 4, 1		0	0
325	320	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
326	321	0	0	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
327	322	0	0	2/4	4	1		viio7]		Bb	I		viio7	vii	o	7			]			o7	0	0	5, 2, -1, -4		5	5
328	323	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
328	323	1/4	1/4	2/4	4	1		vi		Bb	I		vi	vi								m	0	0	3, 0, 4		3	3
329	324	0	0	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
329	324	1/4	1/4	2/4	4	1		ii		Bb	I		ii	ii								m	0	0	2, -1, 3		2	2
330	325	0	0	2/4	4	1		V6		Bb	I		V6	V		6						M	0	0	5, 2, 1		1	5
330	325	3/8	3/8	2/4	4	1		V/V		Bb	I		V/V	V				V				M	0	0	2, 6, 3		2	2
331	326	0	0	2/4	4	1		V43		Bb	I		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
331	326	1/4	1/4	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
331	326	3/8	3/8	2/4	4	1		V65		Bb	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
332	327	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
333	328	0	0	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
334	329	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
341	336	0	0	2/4	4	1		I\\		Bb	I		I	I							\\	M	0	0	0, 4, 1		0	0
342	337	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
343	338	0	0	2/4	4	1		viio6		Bb	I		viio6	vii	o	6						o	0	0	2, -1, 5		5	2
346	341	0	0	2/4	4	1		vi6		Bb	I		vi6	vi		6						m	0	0	0, 4, 3		3	0
347	342	0	0	2/4	4	1		#viio6(9)/vi		Bb	I		#viio6(9)/vi	#vii	o	6	9	vi				o	0	0	5, 2, 8	3	8	5
347	342	1/4	1/4	2/4	4	1		#viio/vi		Bb	I		#viio/vi	#vii	o			vi				o	0	0	8, 5, 2		8	8
348	343	0	0	2/4	4	1		V43/vi		Bb	I		V43/vi	V		43		vi				Mm7	0	0	5, 2, 4, 8		4	5
349	344	0	0	2/4	4	1		vi		Bb	I		vi	vi								m	0	0	3, 0, 4		3	3
350	345	0	0	2/4	4	1		V7/V		Bb	I		V7/V	V		7		V				Mm7	0	0	2, 6, 3, 0		2	2
351	346	0	0	2/4	4	1		v		Bb	I		v	v								m	0	0	1, -2, 2		1	1
354	349	0	0	2/4	4	1		IV6		Bb	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
355	350	0	0	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
358	353	0	0	2/4	4	1		IV.I		Bb	IV		I	I								M	0	0	0, 4, 1		0	0
359	354	1/4	1/4	2/4	4	1		V2/IV		Bb	IV		V2/IV	V		2		IV				Mm7	0	0	-2, 0, 4, 1		0	-2
360	355	0	0	2/4	4	1		IV6		Bb	IV		IV6	IV		6						M	0	0	3, 0, -1		-1	3
360	355	1/4	1/4	2/4	4	1		V65		Bb	IV		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
361	356	0	0	2/4	4	1		I		Bb	IV		I	I								M	0	0	0, 4, 1		0	0
361	356	1/4	1/4	2/4	4	1		#viio7/iii		Bb	IV		#viio7/iii	#vii	o	7		iii				o7	0	0	9, 6, 3, 0		9	9
362	357	0	0	2/4	4	1		I6		Bb	IV		I6	I		6						M	0	0	4, 1, 0		0	4
363	358	0	0	2/4	4	1		V2		Bb	IV		V2	V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
363	358	1/4	1/4	2/4	4	1		I6		Bb	IV		I6	I		6						M	0	0	4, 1, 0		0	4
364	359	0	0	2/4	4	1		ii2		Bb	IV		ii2	ii		2						mm7	0	0	0, 2, -1, 3		2	0
364	359	1/4	1/4	2/4	4	1		V43		Bb	IV		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
365	360	0	0	2/4	4	1		I(4)		Bb	IV		I(4)	I			4					M	0	0	0, -1, 1		0	0
365	360	1/4	1/4	2/4	4	1		I		Bb	IV		I	I								M	0	0	0, 4, 1		0	0
366	361	0	0	2/4	4	1		I.I(64)		Bb	I		I(64)	I			64					M	0	0	0, -1, 3		0	0
366	361	1/8	1/8	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
367	362	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
367	362	1/4	1/4	2/4	4	1		V2/IV		Bb	I		V2/IV	V		2		IV				Mm7	0	0	-2, 0, 4, 1		0	-2
368	363	0	0	2/4	4	1		IV6		Bb	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
368	363	1/4	1/4	2/4	4	1		ii		Bb	I		ii	ii								m	0	0	2, -1, 3		2	2
369	364	0	0	2/4	4	1		#viio7/iii		Bb	I		#viio7/iii	#vii	o	7		iii				o7	0	0	9, 6, 3, 0		9	9
369	364	1/4	1/4	2/4	4	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
371	366	0	0	2/4	4	1		V2		Bb	I		V2	V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
371	366	1/4	1/4	2/4	4	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
372	367	0	0	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
372	367	1/4	1/4	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
373	368	0	0	2/4	4	1		V2		Bb	I		V2	V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
373	368	1/4	1/4	2/4	4	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
374	369	0	0	2/4	4	1		viio6/V		Bb	I		viio6/V	vii	o	6		V				o	0	0	3, 0, 6		6	3
375	370	0	0	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
376	371	0	0	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
376	371	1/4	1/4	2/4	4	1		#viio2/iii		Bb	I		#viio2/iii	#vii	o	2		iii				o7	0	0	0, 9, 6, 3		9	0
377	372	0	0	2/4	4	1		V/vi		Bb	I		V/vi	V				vi				M	0	0	4, 8, 5		4	4
377	372	1/4	1/4	2/4	4	1		#viio/ii		Bb	I		#viio/ii	#vii	o			ii				o	0	0	7, 4, 1		7	7
378	373	0	0	2/4	4	1		ii		Bb	I		ii	ii								m	0	0	2, -1, 3		2	2
378	373	1/4	1/4	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
379	374	0	0	2/4	4	1		vi		Bb	I		vi	vi								m	0	0	3, 0, 4		3	3
379	374	1/4	1/4	2/4	4	1		V7/V		Bb	I		V7/V	V		7		V				Mm7	0	0	2, 6, 3, 0		2	2
380	375	0	0	2/4	4	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
380	375	1/4	1/4	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
381	376	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
383	378	0	0	2/4	4	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
384	379	0	0	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
384	379	1/4	1/4	2/4	4	1		#viio7/iii		Bb	I		#viio7/iii	#vii	o	7		iii				o7	0	0	9, 6, 3, 0		9	9
385	380	0	0	2/4	4	1		iii		Bb	I		iii	iii								m	0	0	4, 1, 5		4	4
386	381	0	0	2/4	4	1		V65		Bb	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
387	382	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
387	382	1/4	1/4	2/4	4	1		V65		Bb	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
388	383	0	0	2/4	4	1		I64		Bb	I		I64	I		64						M	0	0	1, 0, 4		0	1
388	383	1/4	1/4	2/4	4	1		V65		Bb	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
389	384	0	0	2/4	4	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
390	385	0	0	2/4	4	1		V2/IV		Bb	I		V2/IV	V		2		IV				Mm7	0	0	-2, 0, 4, 1		0	-2
391	386	0	0	2/4	4	1		IV6		Bb	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
392	387	0	0	2/4	4	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
393	388	0	0	2/4	4	1		V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
395	390	1/4	1/4	2/4	4	1		I\\		Bb	I		I	I							\\	M	0	0	0, 4, 1		0	0
