mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
190	190	0	0	3/4	2	1	V6	F	I		V6		V		6					M	0	0	5, 2, 1		1	5
190	190	1/2	1/2	3/4	2	1	V65	F	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
191	191	0	0	3/4	2	1	I	F	I		I		I							M	0	0	0, 4, 1		0	0
191	191	1/4	1/4	3/4	2	1	ii6	F	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
191	191	1/2	1/2	3/4	2	1	V	F	I		V		V							M	0	0	1, 5, 2		1	1
192	192	0	0	3/4	2	1	I}{	F	I		I		I						}{	M	0	0	0, 4, 1		0	0
193	193	0	0	3/4	2	1	V7	F	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
194	194	0	0	3/4	2	1	i	F	I		i		i							m	0	0	0, -3, 1		0	0
195	195	0	0	3/4	2	1	V7	F	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
196	196	0	0	3/4	2	1	i	F	I		i		i							m	0	0	0, -3, 1		0	0
197	197	0	0	3/4	2	1	iv7	F	I		iv7		iv		7					mm7	0	0	-1, -4, 0, -3		-1	-1
198	198	0	0	3/4	2	1	V7/bIII	F	I		V7/bIII		V		7		bIII			Mm7	0	0	-2, 2, -1, -4		-2	-2
199	199	0	0	3/4	2	1	bIIIM7	F	I		bIIIM7		bIII	M	7					MM7	0	0	-3, 1, -2, 2		-3	-3
200	200	0	0	3/4	2	1	bVIM7	F	I		bVIM7		bVI	M	7					MM7	0	0	-4, 0, -3, 1		-4	-4
200	200	1/2	1/2	3/4	2	1	ii%7	F	I		ii%7		ii	%	7					%7	0	0	2, -1, -4, 0		2	2
201	201	1/4	1/4	3/4	2	1	V7	F	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
202	202	0	0	3/4	2	1	bVI	F	I		bVI		bVI							M	0	0	-4, 0, -3		-4	-4
202	202	1/4	1/4	3/4	2	1	i64	F	I		i64		i		64					m	0	0	1, 0, -3		0	1
202	202	1/2	1/2	3/4	2	1	viio7/V	F	I		viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
203	203	0	0	3/4	2	1	V}	F	I		V		V						}	M	0	0	1, 5, 2		1	1
203	203	5/8	5/8	3/4	2	1	viio7/V	F	I		viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
204	204	0	0	3/4	2	1	V	F	I		V		V							M	0	0	1, 5, 2		1	1
204	204	5/8	5/8	3/4	2	1	viio7/V	F	I		viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
205	205	0	0	3/4	2	1	V	F	I		V		V							M	0	0	1, 5, 2		1	1
207	207	0	0	3/4	2	1	IV{	F	I		IV		IV						{	M	0	0	-1, 3, 0		-1	-1
208	208	1/2	1/2	3/4	2	1	I	F	I		I		I							M	0	0	0, 4, 1		0	0
209	209	0	0	3/4	2	1	V7	F	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
210	210	1/2	1/2	3/4	2	1	vi	F	I		vi		vi							m	0	0	3, 0, 4		3	3
211	211	0	0	3/4	2	1	ii6	F	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
211	211	1/4	1/4	3/4	2	1	V(64)	F	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
211	211	1/2	1/2	3/4	2	1	V	F	I		V		V							M	0	0	1, 5, 2		1	1
212	212	0	0	3/4	2	1	I}	F	I		I		I						}	M	0	0	0, 4, 1		0	0
213	213	0	0	3/4	2	1	IV64{	F	I		IV64		IV		64				{	M	0	0	0, -1, 3		-1	0
214	214	1/2	1/2	3/4	2	1	I	F	I		I		I							M	0	0	0, 4, 1		0	0
215	215	0	0	3/4	2	1	V7	F	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
216	216	1/2	1/2	3/4	2	1	vi	F	I		vi		vi							m	0	0	3, 0, 4		3	3
217	217	0	0	3/4	2	1	ii6	F	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
217	217	1/4	1/4	3/4	2	1	V(64)	F	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
217	217	1/2	1/2	3/4	2	1	viio64	F	I		viio64		vii	o	64					o	0	0	-1, 5, 2		5	-1
218	218	0	0	3/4	2	1	I6	F	I		I6		I		6					M	0	0	4, 1, 0		0	4
218	218	1/4	1/4	3/4	2	1	#viio7/vi	F	I		#viio7/vi		#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
218	218	1/2	1/2	3/4	2	1	vi	F	I		vi		vi							m	0	0	3, 0, 4		3	3
219	219	0	0	3/4	2	1	ii6	F	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
219	219	1/4	1/4	3/4	2	1	V(64)	F	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
219	219	1/2	1/2	3/4	2	1	viio64	F	I		viio64		vii	o	64					o	0	0	-1, 5, 2		5	-1
220	220	0	0	3/4	2	1	I6	F	I		I6		I		6					M	0	0	4, 1, 0		0	4
220	220	1/4	1/4	3/4	2	1	#viio7/vi	F	I		#viio7/vi		#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
220	220	1/2	1/2	3/4	2	1	vi	F	I		vi		vi							m	0	0	3, 0, 4		3	3
221	221	0	0	3/4	2	1	ii6	F	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
221	221	1/4	1/4	3/4	2	1	V(64)	F	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
221	221	1/2	1/2	3/4	2	1	V7	F	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
222	222	0	0	3/4	2	1	I[I}{	F	I	I	I		I						}{	M	0	0	0, 4, 1		0	0
223	223	1/2	1/2	3/4	2	1	V2(+4)	F	I	I	V2(+4)		V		2	+4				Mm7	0	0	-1, 1, 5, 2	0	1	-1
224	224	0	0	3/4	2	1	I	F	I	I	I		I							M	0	0	0, 4, 1		0	0
225	225	1/2	1/2	3/4	2	1	V2(+4)	F	I	I	V2(+4)		V		2	+4				Mm7	0	0	-1, 1, 5, 2	0	1	-1
226	226	0	0	3/4	2	1	I]	F	I	I	I		I							M	0	0	0, 4, 1		0	0
226	226	1/4	1/4	3/4	2	1	V/vi	F	I		V/vi		V				vi			M	0	0	4, 8, 5		4	4
227	227	0	0	3/4	2	1	vi	F	I		vi		vi							m	0	0	3, 0, 4		3	3
227	227	1/4	1/4	3/4	2	1	I	F	I		I		I							M	0	0	0, 4, 1		0	0
228	228	0	0	3/4	2	1	IV	F	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
228	228	1/4	1/4	3/4	2	1	V	F	I		V		V							M	0	0	1, 5, 2		1	1
229	229	0	0	3/4	2	1	I}	F	I		I		I						}	M	0	0	0, 4, 1		0	0
