mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
154	140	1/8	1/8	2/4	4	1		IV		Eb	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
154	140	1/4	1/4	2/4	4	1		vii%7		Eb	I		vii%7		vii	%	7						%7	0	0	5, 2, -1, 3		5	5
154	140	3/8	3/8	2/4	4	1		I		Eb	I		I		I								M	0	0	0, 4, 1		0	0
155	141	0	0	2/4	4	1		viio6		Eb	I		viio6		vii	o	6						o	0	0	2, -1, 5		5	2
155	141	1/8	1/8	2/4	4	1		viio/IV		Eb	I		viio/IV		vii	o			IV				o	0	0	4, 1, -2		4	4
155	141	1/4	1/4	2/4	4	1		IV		Eb	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
155	141	3/8	3/8	2/4	4	1		V7		Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
156	142	0	0	2/4	4	1	1	I]\\		Eb	I		I		I					]		\\	M	0	0	0, 4, 1		0	0
157	142	0	0	2/4	4	1	2	I]		Eb	I		I		I					]			M	0	0	0, 4, 1		0	0
158	143	0	0	2/4	4	1		I6		Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
159	144	0	0	2/4	4	1		V2		Eb	I		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
160	145	0	0	2/4	4	1		V43		Eb	I		V43		V		43						Mm7	0	0	2, -1, 1, 5		1	2
161	146	0	0	2/4	4	1		V6		Eb	I		V6		V		6						M	0	0	5, 2, 1		1	5
161	146	1/4	1/4	2/4	4	1		V2		Eb	I		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
162	147	0	0	2/4	4	1		I6		Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
163	148	0	0	2/4	4	1		V2		Eb	I		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
164	149	0	0	2/4	4	1		V43		Eb	I		V43		V		43						Mm7	0	0	2, -1, 1, 5		1	2
165	150	0	0	2/4	4	1		V6		Eb	I		V6		V		6						M	0	0	5, 2, 1		1	5
165	150	1/4	1/4	2/4	4	1		I64		Eb	I		I64		I		64						M	0	0	1, 0, 4		0	1
167	152	0	0	2/4	4	1		V65		Eb	I		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
168	153	0	0	2/4	4	1		V		Eb	I		V		V								M	0	0	1, 5, 2		1	1
168	153	3/8	3/8	2/4	4	1		V2		Eb	I		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
169	154	0	0	2/4	4	1		I6		Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
169	154	1/8	1/8	2/4	4	1		V43		Eb	I		V43		V		43						Mm7	0	0	2, -1, 1, 5		1	2
169	154	1/4	1/4	2/4	4	1		V65/ii		Eb	I		V65/ii		V		65		ii				Mm7	0	0	7, 4, 1, 3		3	7
170	155	0	0	2/4	4	1		V65/ii		Eb	I		V65/ii		V		65		ii				Mm7	0	0	7, 4, 1, 3		3	7
170	155	1/4	1/4	2/4	4	1		ii		Eb	I		ii		ii								m	0	0	2, -1, 3		2	2
171	156	0	0	2/4	4	1		#vii6/ii		Eb	I		#vii6/ii		#vii		6		ii				m	0	0	4, 8, 7		7	4
171	156	1/4	1/4	2/4	4	1		ii6		Eb	I		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
172	157	0	0	2/4	4	1		V(64)		Eb	I		V(64)		V			64					M	0	0	1, 0, 4		1	1
172	157	1/4	1/4	2/4	4	1		V2		Eb	I		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
173	158	0	0	2/4	4	1		I6		Eb	I		I6		I		6						M	0	0	4, 1, 0		0	4
173	158	1/4	1/4	2/4	4	1		#viio7/ii		Eb	I		#viio7/ii		#vii	o	7		ii				o7	0	0	7, 4, 1, -2		7	7
174	159	0	0	2/4	4	1		V65/ii		Eb	I		V65/ii		V		65		ii				Mm7	0	0	7, 4, 1, 3		3	7
174	159	1/4	1/4	2/4	4	1		ii		Eb	I		ii		ii								m	0	0	2, -1, 3		2	2
175	160	0	0	2/4	4	1		V65/ii		Eb	I		V65/ii		V		65		ii				Mm7	0	0	7, 4, 1, 3		3	7
175	160	1/4	1/4	2/4	4	1		ii6		Eb	I		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
176	161	0	0	2/4	4	1		V(64)		Eb	I		V(64)		V			64					M	0	0	1, 0, 4		1	1
176	161	1/4	1/4	2/4	4	1		V7		Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
177	162	0	0	2/4	4	1		I\\		Eb	I		I		I							\\	M	0	0	0, 4, 1		0	0
178	163	0	0	2/4	4	1		#viio2/ii		Eb	I		#viio2/ii		#vii	o	2		ii				o7	0	0	-2, 7, 4, 1		7	-2
179	164	0	0	2/4	4	1		I		Eb	I		I		I								M	0	0	0, 4, 1		0	0
180	165	0	0	2/4	4	1		V7		Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
181	166	0	0	2/4	4	1		I		Eb	I		I		I								M	0	0	0, 4, 1		0	0
182	167	0	0	2/4	4	1		#viio2/ii		Eb	I		#viio2/ii		#vii	o	2		ii				o7	0	0	-2, 7, 4, 1		7	-2
183	168	0	0	2/4	4	1		I		Eb	I		I		I								M	0	0	0, 4, 1		0	0
184	169	0	0	2/4	4	1		V7		Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
185	170	0	0	2/4	4	1		I		Eb	I		I		I								M	0	0	0, 4, 1		0	0
186	171	0	0	2/4	4	1		IV		Eb	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
187	172	0	0	2/4	4	1		ii		Eb	I		ii		ii								m	0	0	2, -1, 3		2	2
188	173	0	0	2/4	4	1		V65		Eb	I		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
189	174	0	0	2/4	4	1		V7		Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
190	175	0	0	2/4	4	1		I		Eb	I		I		I								M	0	0	0, 4, 1		0	0
191	176	0	0	2/4	4	1		ii		Eb	I		ii		ii								m	0	0	2, -1, 3		2	2
191	176	1/4	1/4	2/4	4	1		ii6		Eb	I		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
191	176	3/8	3/8	2/4	4	1		V7		Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
192	177	0	0	2/4	4	1		I		Eb	I		I		I								M	0	0	0, 4, 1		0	0
193	178	0	0	2/4	4	1		I		Eb	I		I		I								M	0	0	0, 4, 1		0	0
194	179	0	0	2/4	4	1		IV		Eb	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
195	180	0	0	2/4	4	1		ii		Eb	I		ii		ii								m	0	0	2, -1, 3		2	2
196	181	0	0	2/4	4	1		V65		Eb	I		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
197	182	0	0	2/4	4	1		V7		Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
198	183	0	0	2/4	4	1		I		Eb	I		I		I								M	0	0	0, 4, 1		0	0
199	184	0	0	2/4	4	1		V7		Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
200	185	0	0	2/4	4	1		I\\		Eb	I		I		I							\\	M	0	0	0, 4, 1		0	0
202	187	0	0	2/4	4	1		vi		Eb	I		vi		vi								m	0	0	3, 0, 4		3	3
203	188	0	0	2/4	4	1		V7		Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
204	189	0	0	2/4	4	1		ii		Eb	I		ii		ii								m	0	0	2, -1, 3		2	2
205	190	1/4	1/4	2/4	4	1		V7		Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
206	191	0	0	2/4	4	1		I		Eb	I		I		I								M	0	0	0, 4, 1		0	0
206	191	5/16	5/16	2/4	4	1		V6		Eb	I		V6		V		6						M	0	0	5, 2, 1		1	5
206	191	7/16	7/16	2/4	4	1		#viio/ii		Eb	I		#viio/ii		#vii	o			ii				o	0	0	7, 4, 1		7	7
207	192	0	0	2/4	4	1		ii		Eb	I		ii		ii								m	0	0	2, -1, 3		2	2
207	192	1/8	1/8	2/4	4	1		ii6		Eb	I		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
207	192	3/16	3/16	2/4	4	1		V6/V		Eb	I		V6/V		V		6		V				M	0	0	6, 3, 2		2	6
207	192	1/4	1/4	2/4	4	1		V7		Eb	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
208	193	0	0	2/4	4	1		I		Eb	I		I		I								M	0	0	0, 4, 1		0	0
209	194	0	0	2/4	4	1		V		Eb	I		V		V								M	0	0	1, 5, 2		1	1
210	195	0	0	2/4	4	1		I\\		Eb	I		I		I							\\	M	0	0	0, 4, 1		0	0
